date,symbol,name,sector,open_price,high_price,low_price,close_price,prev_close,percent_change,volume,turnover,transactions
2026-03-20,RSML,RSML,Unknown,1120.5,1250.1,1120.5,1250.1,1136.5,10.0,770.0,946644.0,21
2026-03-20,RSY,RSY,Unknown,10.6,10.6,10.45,10.45,10.45,0.0,235610.0,2480732.0,47
2026-03-20,RURU,RURU,Unknown,692.8,692.8,680.0,680.2,680.0,0.03,19942.0,13610485.4,154
2026-03-20,SABBL,SABBL,Unknown,1262.0,1388.6,1262.0,1388.6,1262.4,10.0,12660.0,17572392.0,899
2026-03-20,SADBL,SADBL,Unknown,445.0,455.0,443.2,452.0,440.0,2.73,175628.0,79110215.6,536
2026-03-20,SAGAR,SAGAR,Unknown,1925.0,1949.0,1915.3,1934.0,1920.0,0.73,23738.0,45845681.1,370
2026-03-20,SAGF,SAGF,Unknown,9.9,10.2,9.9,10.02,10.02,0.0,6050.0,60893.0,17
2026-03-20,SAHAS,SAHAS,Unknown,620.0,627.0,615.0,625.0,616.0,1.46,232389.0,145129817.7,1202
2026-03-20,SAIL,SAIL,Unknown,1329.0,1421.0,1311.0,1350.0,1329.0,1.58,101642.0,135944644.0,1004
2026-03-20,SALICO,SALICO,Unknown,623.0,624.9,613.5,620.0,615.5,0.73,20264.0,12549636.2,135
2026-03-20,SAND2085,SAND2085,Unknown,1122.0,1122.0,1122.0,1122.0,1112.6,0.84,25.0,28050.0,1
2026-03-20,SANIMA,SANIMA,Unknown,351.0,361.0,351.0,357.1,349.5,2.17,164580.0,58676373.3,522
2026-03-20,SANVI,SANVI,Unknown,815.0,840.0,815.0,822.0,819.5,0.31,49171.0,40614563.9,585
2026-03-20,SAPDBL,SAPDBL,Unknown,860.1,913.0,860.1,905.0,877.6,3.12,124346.0,111040159.1,870
2026-03-20,SARBTM,SARBTM,Unknown,877.0,906.0,877.0,904.0,889.0,1.69,44785.0,40232913.5,309
2026-03-20,SBCF,SBCF,Unknown,9.47,9.83,9.47,9.66,9.64,0.21,27550.0,265905.0,23
2026-03-20,SBI,SBI,Unknown,413.4,437.0,411.1,425.8,413.4,3.0,97260.0,41131588.9,310
